date	actual_daily	confirmed_daily	actual	confirmed
8-Dec-19	1	0	1	0
9-Dec-19	0	0	1	0
10-Dec-19	0	0	1	0
11-Dec-19	1	0	2	0
12-Dec-19	3	0	5	0
13-Dec-19	0	0	5	0
14-Dec-19	0	0	5	0
15-Dec-19	3	0	8	0
16-Dec-19	0	0	8	0
17-Dec-19	4	0	12	0
18-Dec-19	2	0	14	0
19-Dec-19	2	0	16	0
20-Dec-19	9	0	25	0
21-Dec-19	4	0	29	0
22-Dec-19	8	0	37	0
23-Dec-19	3	0	40	0
24-Dec-19	5	0	45	0
25-Dec-19	2	0	47	0
26-Dec-19	2	0	49	0
27-Dec-19	10	0	59	0
28-Dec-19	9	0	68	0
29-Dec-19	10	0	78	0
30-Dec-19	12	0	90	0
31-Dec-19	12	0	102	0
1-Jan-20	44	0	146	0
2-Jan-20	29	0	175	0
3-Jan-20	42	0	217	0
4-Jan-20	24	0	241	0
5-Jan-20	42	0	283	0
6-Jan-20	45	0	328	0
7-Jan-20	43	0	371	0
8-Jan-20	95	0	466	0
9-Jan-20	77	0	543	0
10-Jan-20	164	0	707	0
11-Jan-20	164	0	871	0
12-Jan-20	180	0	1051	0
13-Jan-20	245	0	1296	0
14-Jan-20	264	0	1560	0
15-Jan-20	434	0	1994	0
16-Jan-20	500	0	2494	0
17-Jan-20	657	0	3151	0
18-Jan-20	707	16	3858	16
19-Jan-20	877	16	4735	32
20-Jan-20	1366	19	6101	51
21-Jan-20	1552	98	7653	149
22-Jan-20	2003	286	9656	435
23-Jan-20	2474	355	12130	790
24-Jan-20	2743	640	14873	1430
25-Jan-20	2652	949	17525	2379
26-Jan-20	2783	894	20308	3273
27-Jan-20	2746	1080	23054	4353
28-Jan-20	2642	1460	25696	5813
29-Jan-20	2386	1632	28082	7445
30-Jan-20	2334	1900	30416	9345
31-Jan-20	2208	2119	32624	11464
1-Feb-20	3124	2627	35748	14091
2-Feb-20	1921	2763	37669	16854
3-Feb-20	1628	3193	39297	20047
4-Feb-20	1424	3776	40721	23823
5-Feb-20	1226	3648	41947	27471
6-Feb-20	826	3151	42773	30622
7-Feb-20	726	3379	43499	34001
8-Feb-20	520	2629	44019	36630
9-Feb-20	334	3191	44353	39821
10-Feb-20	220	2904	44573	42725
11-Feb-20	118	2143	44691	44868
