date	confirmed_wuhan
1-Jan-20	68
2-Jan-20	83
3-Jan-20	84
4-Jan-20	69
5-Jan-20	107
6-Jan-20	62
7-Jan-20	77
8-Jan-20	123
9-Jan-20	62
10-Jan-20	131
11-Jan-20	131
12-Jan-20	139
13-Jan-20	199
14-Jan-20	207
15-Jan-20	298
16-Jan-20	321
17-Jan-20	389
18-Jan-20	382
19-Jan-20	420
20-Jan-20	745
21-Jan-20	783
22-Jan-20	988
23-Jan-20	1222
24-Jan-20	1290
25-Jan-20	1283
26-Jan-20	1359
27-Jan-20	1337
28-Jan-20	1344
29-Jan-20	1156
30-Jan-20	1194
31-Jan-20	1149
1-Feb-20	2041
2-Feb-20	1134
3-Feb-20	976
4-Feb-20	893
5-Feb-20	991
6-Feb-20	659
7-Feb-20	667
8-Feb-20	531
9-Feb-20	441
10-Feb-20	494
11-Feb-20	381
12-Feb-20	396
13-Feb-20	426
14-Feb-20	230
15-Feb-20	238
16-Feb-20	201
17-Feb-20	223
18-Feb-20	254
19-Feb-20	133
20-Feb-20	96
